--------- beginning of /dev/log/system
05-20 14:22:31.564 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:22:31.564 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:22:31.564 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:22:31.564 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:22:31.572 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:22:31.572 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:22:31.572 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:22:31.572 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:22:31.580 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:22:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:22:31.596 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:22:31.596 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:22:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:22:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:22:31.924 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:22:31.924 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:22:31.924 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:22:31.924 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:22:31.924 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:22:31.924 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:22:31.924 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:23:31.549 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:23:31.549 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:23:31.549 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:23:31.549 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:23:31.549 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:23:31.549 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:23:31.549 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:23:31.556 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:23:31.556 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:23:31.556 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:23:31.556 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:23:31.556 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:23:31.556 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:23:31.556 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:23:31.869 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:23:31.869 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:23:31.869 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:23:31.877 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:23:31.877 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:23:31.877 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:23:31.877 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:23:31.877 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:23:31.877 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:23:31.877 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:23:31.877 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:23:31.877 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:23:31.877 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:23:31.877 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:24:31.572 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:24:31.580 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:24:31.580 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:24:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:24:31.596 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:24:31.596 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:24:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:24:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:24:31.596 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:24:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:24:31.596 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:24:31.596 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:24:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:24:31.603 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:24:31.666 I/ActivityManager(  374): Process com.google.android.deskclock (pid 1770) has died.
05-20 14:24:31.955 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:24:31.955 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:24:31.955 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:24:31.955 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:24:31.971 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:24:31.971 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:24:31.971 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:24:31.971 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:24:31.971 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:24:31.971 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:24:31.971 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:24:31.971 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:24:31.986 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:24:31.986 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:25:31.611 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:25:31.611 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:25:31.611 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:25:31.611 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:25:31.619 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:25:31.619 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:25:31.635 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:25:31.642 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:25:31.642 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:25:31.642 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:25:31.642 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:25:31.642 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:25:31.650 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:25:31.650 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:25:32.033 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:25:32.033 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:25:32.033 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:25:32.033 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:25:32.033 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:25:32.033 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:25:32.033 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:25:32.033 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:25:32.041 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:25:32.041 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:25:32.041 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:25:32.041 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:25:32.041 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:25:32.041 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:26:31.596 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:26:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:26:31.596 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:26:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:26:31.596 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:26:31.596 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:26:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:26:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:26:31.603 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:26:31.603 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:26:31.603 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:26:31.603 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:26:31.603 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:26:31.603 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:26:31.924 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:26:31.924 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:26:31.924 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:26:31.924 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:26:31.924 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:26:31.931 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:26:31.931 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:26:31.931 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:26:31.931 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:26:31.931 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:26:31.931 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:26:31.931 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:26:31.931 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:26:31.939 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:27:31.603 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:27:31.603 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:27:31.603 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:27:31.603 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:27:31.611 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:27:31.611 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:27:31.611 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:27:31.611 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:27:31.611 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:27:31.611 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:27:31.611 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:27:31.619 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:27:31.619 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:27:31.619 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:27:31.955 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:27:31.963 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:27:31.963 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:27:31.963 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:27:31.963 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:27:31.963 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:27:31.971 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:27:31.971 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:27:31.971 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:27:31.971 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:27:31.971 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:27:31.971 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:27:31.971 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:27:31.978 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:28:31.635 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:28:31.635 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:28:31.635 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:28:31.635 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:28:31.635 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:28:31.635 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:28:31.635 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:28:31.642 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:28:31.642 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:28:31.642 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:28:31.642 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:28:31.642 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:28:31.642 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:28:31.642 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:28:31.986 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:28:31.986 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:28:31.986 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:28:31.986 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:28:31.986 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:28:31.986 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:28:31.986 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:28:31.986 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:28:31.986 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:28:31.986 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:28:31.986 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:28:31.994 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:28:31.994 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:28:31.994 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:29:31.642 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:29:31.642 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:29:31.642 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:29:31.642 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:29:31.642 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:29:31.642 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:29:31.650 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:29:31.650 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:29:31.650 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:29:31.650 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:29:31.650 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:29:31.650 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:29:31.650 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:29:31.658 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:29:31.986 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:29:31.986 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:29:31.986 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:29:31.986 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:29:31.986 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
