
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0         24 K
System                           4 Services                   0      4,544 K
smss.exe                       312 Services                   0      1,032 K
csrss.exe                      416 Services                   0      5,688 K
wininit.exe                    476 Services                   0      4,712 K
csrss.exe                      500 Console                    1     78,324 K
winlogon.exe                   568 Console                    1      7,100 K
services.exe                   588 Services                   0      9,968 K
lsass.exe                      604 Services                   0     14,784 K
lsm.exe                        616 Services                   0      4,532 K
svchost.exe                    708 Services                   0      9,924 K
svchost.exe                    788 Services                   0      8,440 K
svchost.exe                    884 Services                   0     17,748 K
svchost.exe                    924 Services                   0    164,716 K
svchost.exe                    964 Services                   0     22,108 K
svchost.exe                    988 Services                   0     29,744 K
ZhuDongFangYu.exe             1084 Services                   0     13,468 K
svchost.exe                   1220 Services                   0     15,556 K
spoolsv.exe                   1380 Services                   0     10,284 K
svchost.exe                   1456 Services                   0     14,604 K
svchost.exe                   1484 Services                   0     18,944 K
91MobileDeviceService.exe     1604 Services                   0     12,036 K
armsvc.exe                    1652 Services                   0      3,664 K
AlipaySecSvc.exe              1692 Services                   0     15,848 K
AppleMobileDeviceService.     1752 Services                   0      8,660 K
AddrUpdate.exe                1820 Services                   0      9,380 K
mDNSResponder.exe             1852 Services                   0      5,624 K
SkypeC2CAutoUpdateSvc.exe     1876 Services                   0      6,664 K
SkypeC2CPNRSvc.exe            1916 Services                   0      4,008 K
HiSuiteOuc64.exe              2012 Services                   0      4,408 K
HuaweiHiSuiteService64.ex     1132 Services                   0      4,568 K
HZ_CommSrv.exe                1480 Services                   0      4,072 K
HZ_CommSrv64.exe              1148 Services                   0      3,076 K
OmniAddrService.exe           1936 Services                   0      8,356 K
p4s.exe                       2072 Services                   0      4,220 K
svchost.exe                   2164 Services                   0      7,984 K
TBUpdate.exe                  2188 Services                   0      8,264 K
VisualSVNServer.exe           2228 Services                   0      5,632 K
vmnat.exe                     2280 Services                   0      4,532 K
WDKeyMonitorCCB.exe           2308 Services                   0      4,108 K
svchost.exe                   2336 Services                   0     16,172 K
vmware-authd.exe              2364 Services                   0      9,840 K
vmnetdhcp.exe                 2440 Services                   0      7,684 K
vmware-usbarbitrator64.ex     2464 Services                   0      7,276 K
VisualSVNServer.exe           2744 Services                   0      7,128 K
vmware-hostd.exe              3272 Services                   0     36,892 K
svchost.exe                   3396 Services                   0      5,556 K
taskhost.exe                  3572 Console                    1     21,936 K
dwm.exe                       3636 Console                    1     56,000 K
explorer.exe                  3660 Console                    1     79,132 K
TaobaoProtect.exe             4016 Console                    1      6,756 K
WmiPrvSE.exe                  4092 Services                   0     14,752 K
Alipaybsm.exe                 2588 Console                    1     16,528 K
igfxtray.exe                  4572 Console                    1      6,280 K
hkcmd.exe                     4632 Console                    1     10,116 K
igfxpers.exe                  4728 Console                    1      6,028 K
CCBCertificate.exe            4744 Console                    1      8,208 K
WDCertM_CCB.exe               4764 Console                    1     10,776 K
Thunder.exe                   4788 Console                    1     25,208 K
SGImeGuard.exe                4800 Console                    1     20,000 K
360tray.exe                   4892 Console                    1     29,848 K
WPService.exe                 5028 Console                    1      8,964 K
jusched.exe                   5056 Console                    1      4,508 K
vmware-tray.exe               5064 Console                    1      5,256 K
USBKeyTools.exe               5080 Console                    1      8,700 K
360sd.exe                     3532 Console                    1      1,868 K
SearchIndexer.exe             4120 Services                   0     53,076 K
360rp.exe                     5472 Console                    1     98,568 K
ThunderPlatform.exe           5704 Console                    1     22,948 K
XLUEOPS.exe                   6008 Console                    1     14,620 K
wmpnetwk.exe                  6096 Services                   0     12,128 K
KKV.exe                       5568 Console                    1      7,540 K
SoftMgrLite.exe                980 Console                    1     25,652 K
svchost.exe                   6932 Services                   0     23,440 K
SearchProtocolHost.exe        5252 Services                   0      6,536 K
eclipse.exe                   6608 Console                    1    775,572 K
91 PC Suite.exe               3404 Console                    1     11,192 K
firefox.exe                   6964 Console                    1    164,584 K
QQProtect.exe                 7308 Console                    1     18,088 K
QQ.exe                        1016 Console                    1    104,696 K
TXPlatform.exe                7948 Console                    1      1,840 K
QQExternal.exe                2020 Console                    1        836 K
notepad.exe                   1240 Console                    1      6,652 K
calc.exe                      9660 Console                    1     10,804 K
chromedriver.exe              9944 Console                    1     10,772 K
conhost.exe                    956 Console                    1      3,452 K
notepad.exe                   9336 Console                    1      6,804 K
chromedriver.exe              8444 Console                    1     10,688 K
conhost.exe                   9368 Console                    1      3,352 K
chromedriver.exe              4684 Console                    1     10,736 K
