
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0         24 K
System                           4 Services                   0      8,192 K
smss.exe                       312 Services                   0        720 K
csrss.exe                      416 Services                   0      4,860 K
wininit.exe                    476 Services                   0      3,936 K
csrss.exe                      500 Console                    1    111,692 K
winlogon.exe                   568 Console                    1      5,468 K
services.exe                   588 Services                   0      8,120 K
lsass.exe                      604 Services                   0     14,248 K
lsm.exe                        616 Services                   0      3,648 K
svchost.exe                    716 Services                   0      7,336 K
svchost.exe                    796 Services                   0      7,276 K
svchost.exe                    884 Services                   0     13,184 K
svchost.exe                    928 Services                   0    153,032 K
svchost.exe                    960 Services                   0     13,580 K
svchost.exe                    988 Services                   0     20,952 K
audiodg.exe                    368 Services                   0     15,912 K
ZhuDongFangYu.exe             1072 Services                   0      9,020 K
svchost.exe                   1204 Services                   0     13,104 K
spoolsv.exe                   1384 Services                   0      6,652 K
svchost.exe                   1436 Services                   0     13,108 K
svchost.exe                   1464 Services                   0     14,700 K
91MobileDeviceService.exe     1584 Services                   0      9,192 K
armsvc.exe                    1616 Services                   0      3,144 K
AlipaySecSvc.exe              1648 Services                   0     14,844 K
AppleMobileDeviceService.     1744 Services                   0      6,152 K
AddrUpdate.exe                1804 Services                   0      7,480 K
mDNSResponder.exe             1844 Services                   0      4,936 K
SkypeC2CAutoUpdateSvc.exe     1888 Services                   0      4,768 K
SkypeC2CPNRSvc.exe            1928 Services                   0      2,964 K
HiSuiteOuc64.exe              2024 Services                   0      3,724 K
HuaweiHiSuiteService64.ex     1116 Services                   0      3,604 K
HZ_CommSrv.exe                1300 Services                   0      3,632 K
HZ_CommSrv64.exe              1128 Services                   0      2,564 K
OmniAddrService.exe           2020 Services                   0      7,704 K
svchost.exe                   2152 Services                   0      5,036 K
TBUpdate.exe                  2224 Services                   0      9,180 K
VisualSVNServer.exe           2264 Services                   0      4,264 K
vmnat.exe                     2300 Services                   0      3,892 K
WDKeyMonitorCCB.exe           2328 Services                   0      3,564 K
svchost.exe                   2356 Services                   0     11,916 K
vmware-authd.exe              2388 Services                   0      6,628 K
vmnetdhcp.exe                 2464 Services                   0      3,188 K
vmware-usbarbitrator64.ex     2484 Services                   0      4,868 K
VisualSVNServer.exe           2764 Services                   0      3,972 K
vmware-hostd.exe              3264 Services                   0     11,764 K
svchost.exe                   3452 Services                   0      4,112 K
WmiPrvSE.exe                  3656 Services                   0      9,472 K
taskhost.exe                  3728 Console                    1     19,064 K
dwm.exe                       3888 Console                    1     76,428 K
explorer.exe                  3256 Console                    1     52,740 K
igfxtray.exe                  4228 Console                    1      4,228 K
hkcmd.exe                     4248 Console                    1      7,576 K
igfxpers.exe                  4316 Console                    1      4,580 K
CCBCertificate.exe            4356 Console                    1      6,676 K
WDCertM_CCB.exe               4368 Console                    1      6,220 K
Thunder.exe                   4472 Console                    1     25,472 K
360sd.exe                     4568 Console                    1      2,252 K
SGImeGuard.exe                4608 Console                    1     13,940 K
KKV.exe                       4768 Console                    1      5,176 K
360tray.exe                   4864 Console                    1     17,340 K
360speedld.exe                4924 Console                    1     17,172 K
WPService.exe                 5052 Console                    1      8,336 K
jusched.exe                   5104 Console                    1      3,872 K
vmware-tray.exe               4520 Console                    1      4,176 K
USBKeyTools.exe               3880 Console                    1      8,440 K
TaobaoProtect.exe             1100 Console                    1      6,284 K
Alipaybsm.exe                 4436 Console                    1     17,112 K
SearchIndexer.exe             5408 Services                   0     28,032 K
XLUEOPS.exe                   5544 Console                    1     10,760 K
360rp.exe                     5612 Console                    1     52,880 K
ThunderPlatform.exe           5768 Console                    1     13,336 K
wmpnetwk.exe                  5784 Services                   0     13,004 K
QQProtect.exe                 4652 Console                    1     14,296 K
SoftMgrLite.exe               3296 Console                    1     15,496 K
firefox.exe                   3764 Console                    1    404,600 K
svchost.exe                   6328 Services                   0     20,768 K
QQ.exe                        6704 Console                    1     56,268 K
TXPlatform.exe                6912 Console                    1      1,500 K
plugin-container.exe          6624 Console                    1     28,904 K
FlashPlayerPlugin_13_0_0_     5284 Console                    1      9,016 K
FlashPlayerPlugin_13_0_0_     6788 Console                    1    149,524 K
eclipse.exe                   7112 Console                    1    525,896 K
91 PC Suite.exe               6152 Console                    1      8,856 K
360MobileMgr.exe              6252 Console                    1      8,556 K
360MobileMgr.exe              2552 Console                    1     20,812 K
cmd.exe                       4552 Console                    1      2,640 K
conhost.exe                   4428 Console                    1      5,204 K
java.exe                      6524 Console                    1     66,140 K
